wiki_bot - 25-08-24 | 15:55:43 - INFO - Reading the Country options...
wiki_bot - 25-08-24 | 15:55:43 - INFO - Reading the separators...
wiki_bot - 25-08-24 | 15:55:44 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_area
wiki_bot - 25-08-24 | 15:55:44 - INFO - Skipping the country /wiki/Earth for bad format
wiki_bot - 25-08-24 | 15:55:45 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Russia
wiki_bot - 25-08-24 | 15:55:46 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:55:46 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:55:46 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:55:46 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Antarctica
wiki_bot - 25-08-24 | 15:55:47 - WARNING - Link not lead to a country. It does not have a capital
wiki_bot - 25-08-24 | 15:55:47 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Canada
wiki_bot - 25-08-24 | 15:55:48 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:55:48 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:55:48 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:55:49 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/China
wiki_bot - 25-08-24 | 15:55:50 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:55:50 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:55:50 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:55:50 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/United_States
wiki_bot - 25-08-24 | 15:55:51 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:55:51 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:55:51 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:55:52 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Brazil
wiki_bot - 25-08-24 | 15:55:53 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:55:53 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:55:53 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:55:53 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Australia
wiki_bot - 25-08-24 | 15:55:54 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:55:54 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:55:54 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:55:54 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/India
